participant_id,phase_id,condition_id,algorithm,configuration,rating_id,pos,track_id,rating,score,danceability,energy,audio_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
45,5,14,MAUT,9,1,8,,0.7,,0,0,0,0,0,0,0,0,0,0,0
45,5,14,MAUT,9,1,9,,0.4,,0,0,0,0,0,0,0,0,0,0,0
118,3,12,MAUT,7,0,8,4efQTJSX6Jca1hHZNi74Zd,0.1,,0.771,0.825,0,-4.009,1,0.0441,0.305,0,0.11,0.812,92.009
118,3,12,MAUT,7,0,7,5kOegu9RsW6DJBxCMbuKzI,0.2,,0.643,0.856,0,-3.322,1,0.0382,0.0133,0.00000164,0.0771,0.549,102.041
118,3,12,MAUT,7,0,6,2CNDUZJ2e5PMut5fVQx1vI,0.2,,0.669,0.743,0,-4.288,0,0.0385,0.335,0,0.0925,0.5,134.926
118,3,12,MAUT,7,0,5,31er9IGsfFbwqy1pH4aiTP,0.6,-0.916312,0.54,0.401,0,-10.499,1,0.0364,0.576,0,0.164,0.24,152.974
118,3,12,MAUT,7,0,4,0kwaKhIcaezQuShga1djFA,0.1,,0.783,0.824,0,-4.973,1,0.123,0.214,0,0.102,0.726,93.998
118,3,12,MAUT,7,0,3,6eiQIgwMcqVU7zraZGd7dJ,0.1,,0.585,0.249,0,-13.601,1,0.055,0.949,0.0157,0.0942,0.509,122.116
118,3,12,MAUT,7,0,2,1182pxG4uNxr3QqIH8b8k0,0.1,,0.598,0.505,0,-6.935,1,0.0255,0.702,0.0000127,0.25,0.421,89.95
118,3,12,MAUT,7,0,1,4zqY8o0AYkl1HKvc56Gzhb,0.1,-0.124057,0.445,0.515,0,-5.667,1,0.0273,0.235,0.0804,0.135,0.188,131.91
118,3,12,MAUT,7,0,0,7wZUrN8oemZfsEd1CGkbXE,1,-0.726092,0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036
161,5,14,MAUT,9,1,9,3w3y8KPTfNeOKPiqUTakBh,0.2,-1.14568,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994
161,5,14,MAUT,9,1,8,0mBKv9DkYfQHjdMcw2jdyI,0.5,-1.65543,0.571,0.539,5,-4.446,0,0.116,0.0208,0,0.125,0.727,202.103
161,5,14,MAUT,9,1,7,37oLDb3119IdKSIFQmSGRj,0.8,-1.18044,0.735,0.276,0,-18.071,1,0.044,0.549,0.000201,0.1,0.966,142.979
161,5,14,MAUT,9,1,6,5lA3pwMkBdd24StM90QrNR,1,-1.69451,0.888,0.815,11,-4.909,0,0.0404,0.23,0.000424,0.127,0.961,127.273
161,5,14,MAUT,9,1,4,0LBmvPJYmtEJ7kkWvc3kbT,1,-1.10816,0.362,0.377,7,-10.142,1,0.034,0.512,0.101,0.175,0.147,112.393
161,5,14,MAUT,9,1,5,7ecVrUYlhj6OrKTAK0oDzo,0.8,-1.02459,0.264,0.609,9,-10.992,0,0.0655,0.111,0.311,0.322,0.862,185.875
161,5,14,MAUT,9,1,3,2AX5E86cn9n2dgioZEjirI,1,-2.24759,0.562,0.383,6,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764
161,5,14,MAUT,9,1,2,6b8Be6ljOzmkOmFslEb23P,0.5,-1.65907,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97
161,5,14,MAUT,9,1,1,1otVV1CDlkKbl4YFjaLfL8,0.8,-0.636063,0.255,0.258,9,-13.79,0,0.0345,0.806,0.918,0.467,0.0733,82.826
161,5,14,MAUT,9,1,0,2lG3UXQhgzuOm8hKmRvJk1,0.9,-1.30132,0.274,0.575,11,-12.57,0,0.0421,0.185,0.0548,0.111,0.499,184.426
161,5,14,MAUT,9,0,9,3w3y8KPTfNeOKPiqUTakBh,0.3,-1.14568,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994
161,5,14,MAUT,9,0,8,0mBKv9DkYfQHjdMcw2jdyI,0.6,-1.65543,0.571,0.539,5,-4.446,0,0.116,0.0208,0,0.125,0.727,202.103
161,5,14,MAUT,9,0,7,37oLDb3119IdKSIFQmSGRj,0.7,-1.18044,0.735,0.276,0,-18.071,1,0.044,0.549,0.000201,0.1,0.966,142.979
161,5,14,MAUT,9,0,6,5lA3pwMkBdd24StM90QrNR,1,-1.69451,0.888,0.815,11,-4.909,0,0.0404,0.23,0.000424,0.127,0.961,127.273
161,5,14,MAUT,9,0,5,7ecVrUYlhj6OrKTAK0oDzo,0.6,-1.02459,0.264,0.609,9,-10.992,0,0.0655,0.111,0.311,0.322,0.862,185.875
161,5,14,MAUT,9,0,4,0LBmvPJYmtEJ7kkWvc3kbT,0.7,-1.10816,0.362,0.377,7,-10.142,1,0.034,0.512,0.101,0.175,0.147,112.393
161,5,14,MAUT,9,0,3,2AX5E86cn9n2dgioZEjirI,1,-2.24759,0.562,0.383,6,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764
161,5,14,MAUT,9,0,2,6b8Be6ljOzmkOmFslEb23P,0.7,-1.65907,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97
161,5,14,MAUT,9,0,1,1otVV1CDlkKbl4YFjaLfL8,0.7,-0.636063,0.255,0.258,9,-13.79,0,0.0345,0.806,0.918,0.467,0.0733,82.826
161,5,14,MAUT,9,0,0,2lG3UXQhgzuOm8hKmRvJk1,0.6,-1.30132,0.274,0.575,11,-12.57,0,0.0421,0.185,0.0548,0.111,0.499,184.426
161,4,13,MAUT,8,1,8,6b8Be6ljOzmkOmFslEb23P,0.6,-1.62791,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97
161,4,13,MAUT,8,1,9,0mBKv9DkYfQHjdMcw2jdyI,0.6,-1.30633,0.571,0.539,5,-4.446,0,0.116,0.0208,0,0.125,0.727,202.103
161,4,13,MAUT,8,1,7,3w3y8KPTfNeOKPiqUTakBh,0.3,-0.726655,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994
161,4,13,MAUT,8,1,6,3NgCzSW98SsqBdpYcnm4kv,0.1,-0.409813,0.393,0.555,10,-6.096,0,0.276,0.405,0,0.105,0.22,167.999
