"","participant_id","endtime","conditions","starttime","p2.Demographics.answers","p2.Demographics.timestamp","p7.msi.answers","p7.msi.timestamp","p10.PlaylistCharacteristics.answers","p10.PlaylistCharacteristics.timestamp","p11.PlaylistCharacteristics.answers","p11.PlaylistCharacteristics.timestamp","p12.PlaylistCharacteristics.answers","p12.PlaylistCharacteristics.timestamp"
"26",218,"2019-01-14 13:39:11","[12,14,13]","2019-01-14 13:39:10","[1,""22"",1]","2019-01-14 13:39:28","[4,2,3,3,1,3,2,5,2,4,2,4,4,4,3,2,2,1]","2019-01-14 13:41:18","[2,3,2,3,3,1]","2019-01-14 13:45:49","[3,2,2,1,1,3]","2019-01-14 13:49:37","[2,3,2,3,2,1]","2019-01-14 13:51:29"
"27",220,"2019-01-14 21:15:25","[13,12,14]","2019-01-14 21:15:24","[0,""25"",1]","2019-01-14 21:15:52","[1,0,5,4,3,5,5,3,3,4,6,5,2,6,3,1,2,1]","2019-01-14 21:18:40","[0,4,0,1,1,3]","2019-01-14 21:23:34","[2,3,2,3,3,1]","2019-01-14 21:26:38","[1,3,1,2,1,3]","2019-01-14 21:29:13"
"28",221,"2019-01-15 00:37:11","[14,13,12]","2019-01-15 00:37:11","[1,""25"",1]","2019-01-15 00:37:28","[2,3,2,4,3,4,4,4,3,3,3,3,4,6,4,0,1,2]","2019-01-15 00:39:28","[2,3,1,1,1,2]","2019-01-15 00:42:55","[3,1,3,1,1,2]","2019-01-15 00:45:58","[3,1,3,3,3,1]","2019-01-15 00:48:08"
"29",211,"2019-01-12 16:33:55","[14,13,12]","2019-01-15 08:21:42","[1,""30"",5]","2019-01-15 08:21:51","[4,2,4,6,5,4,2,2,5,4,1,4,5,2,4,4,4,1]","2019-01-15 08:22:25","[3,0,3,3,1,3]","2019-01-15 08:25:55","[3,1,3,2,1,3]","2019-01-15 08:27:46","[3,1,3,3,3,1]","2019-01-15 08:30:57"
"30",222,"2019-01-16 10:23:05","[14,13,12]","2019-01-16 10:23:05","[0,""20"",3]","2019-01-16 10:23:19","[1,1,2,4,4,4,5,5,1,3,2,3,4,5,4,0,0,0]","2019-01-16 10:25:04","[2,3,2,4,3,1]","2019-01-16 10:30:31","[3,2,3,3,3,1]","2019-01-16 10:33:37","[1,2,1,2,2,2]","2019-01-16 10:37:10"
"31",46,"","[13,12,14]","2019-01-16 10:50:35","[0,""28"",2]","2019-01-16 10:50:53","[3,0,0,3,0,4,6,2,4,5,4,4,5,6,2,0,0,0]","2019-01-16 10:53:13","[4,0,4,2,1,3]","2019-01-16 10:58:21","[3,1,3,1,1,3]","2019-01-16 11:03:27","[0,4,1,3,4,0]","2019-01-16 11:07:38"
"32",224,"2019-01-16 13:00:21","[14,13,12]","2019-01-16 13:00:21","[1,""60"",3]","2019-01-16 13:00:39","[3,0,3,5,4,4,4,5,2,4,2,4,5,3,4,0,0,0]","2019-01-16 13:03:13","[1,3,1,1,1,3]","2019-01-16 13:07:32","[2,2,2,3,1,3]","2019-01-16 13:11:07","[1,3,1,4,4,1]","2019-01-16 13:14:08"
"33",225,"2019-01-16 13:03:52","[13,14,12]","2019-01-16 13:03:52","[1,""21"",1]","2019-01-16 13:04:15","[2,1,1,2,1,3,3,2,3,4,2,2,5,5,3,1,1,0]","2019-01-16 13:06:31","[1,3,1,3,3,1]","2019-01-16 13:12:44","[1,4,0,1,1,3]","2019-01-16 13:17:03","[2,2,2,3,2,1]","2019-01-16 13:22:02"
"34",226,"2019-01-16 13:56:13","[13,12,14]","2019-01-16 13:56:13","[0,""22"",1]","2019-01-16 13:56:37","[2,1,2,4,3,3,2,4,4,2,2,2,4,1,1,2,1,0]","2019-01-16 13:58:14","[3,2,3,3,2,3]","2019-01-16 14:05:05","[3,1,3,3,1,3]","2019-01-16 14:10:43","[1,3,1,3,3,1]","2019-01-16 14:14:20"
"35",227,"2019-01-16 20:01:52","[13,14,12]","2019-01-16 20:01:52","[0,""21"",5]","2019-01-16 20:02:03","[3,4,4,5,2,5,2,5,2,5,4,2,2,0,4,4,1,3]","2019-01-16 20:03:29","[1,3,2,4,3,0]","2019-01-16 20:06:38","[1,3,1,4,3,0]","2019-01-16 20:08:29","[4,0,4,1,1,4]","2019-01-16 20:09:56"
"36",233,"2019-01-17 10:11:18","[14,13,12]","2019-01-17 10:11:18","[0,""21"",4]","2019-01-17 10:11:27","[5,4,5,5,4,5,1,5,2,5,0,5,4,0,5,6,2,3]","2019-01-17 10:12:26","[2,3,2,3,3,1]","2019-01-17 10:18:36","[3,1,4,2,1,3]","2019-01-17 10:21:01","[3,1,3,2,1,2]","2019-01-17 10:22:28"
"37",234,"2019-01-17 15:47:59","[13,12,14]","2019-01-17 15:47:59","[1,""19"",3]","2019-01-17 15:48:48","[2,1,1,1,0,3,5,2,5,2,5,4,5,6,4,0,0,0]","2019-01-17 15:50:32","[2,3,2,3,3,1]","2019-01-17 15:53:09","[3,1,3,3,2,3]","2019-01-17 15:55:32","[1,1,2,3,2,1]","2019-01-17 15:57:21"
"38",238,"2019-01-17 16:03:44","[12,13,14]","2019-01-17 16:03:44","[0,""40"",6]","2019-01-17 16:04:55","[4,2,2,4,4,4,2,4,3,4,1,6,4,1,3,5,3,2]","2019-01-17 16:06:42","[4,0,3,1,1,2]","2019-01-17 16:11:57","[1,4,1,3,3,1]","2019-01-17 16:16:22","[0,4,0,1,2,1]","2019-01-17 16:19:19"
"39",239,"2019-01-17 16:20:10","[14,12,13]","2019-01-17 16:20:10","[1,""28"",5]","2019-01-17 16:20:25","[3,2,3,3,4,3,2,3,2,4,1,3,2,4,3,0,4,1]","2019-01-17 16:22:18","[1,2,1,2,2,2]","2019-01-17 16:29:21","[2,1,2,1,1,3]","2019-01-17 16:33:49","[1,3,1,1,1,3]","2019-01-17 16:36:49"
"40",240,"2019-01-17 16:30:09","[13,12,14]","2019-01-17 16:30:08","[0,""20"",5]","2019-01-17 16:31:07","[4,1,0,5,1,5,5,1,1,4,2,5,4,5,3,0,0,0]","2019-01-17 16:33:16","[3,1,4,3,2,1]","2019-01-17 16:40:09","[4,0,4,2,2,1]","2019-01-17 16:45:53","[2,3,2,4,3,0]","2019-01-17 16:51:45"
"41",242,"2019-01-17 17:04:44","[13,14,12]","2019-01-17 17:04:43","[0,""21"",6]","2019-01-17 17:04:59","[6,4,6,6,5,6,2,5,0,6,0,6,4,2,6,4,4,3]","2019-01-17 17:07:08","[4,0,4,3,3,0]","2019-01-17 17:13:26","[0,4,0,2,3,1]","2019-01-17 17:17:03","[4,0,3,3,4,1]","2019-01-17 17:20:15"
"42",243,"2019-01-17 17:42:10","[13,14,12]","2019-01-17 17:42:10","[0,""19"",4]","2019-01-17 17:42:42","[1,0,0,4,2,1,5,3,2,2,5,2,4,6,1,1,4,0]","2019-01-17 17:44:50","[3,1,3,2,2,1]","2019-01-17 17:50:44","[1,3,1,3,3,3]","2019-01-17 17:55:43","[3,1,2,1,1,3]","2019-01-17 17:58:24"
"43",244,"2019-01-17 17:53:06","[14,13,12]","2019-01-17 17:53:06","[1,""19"",5]","2019-01-17 17:53:29","[4,1,2,0,3,5,4,3,4,2,4,6,3,5,5,0,0,0]","2019-01-17 17:54:55","[0,4,0,1,0,3]","2019-01-17 18:03:25","[1,3,1,2,2,1]","2019-01-17 18:05:05","[4,0,4,3,3,2]","2019-01-17 18:06:15"
"44",191,"2019-01-10 19:48:10","[12,14,13]","2019-01-17 18:09:04","[0,""23"",3]","2019-01-17 18:09:13","[4,2,4,4,3,4,3,3,3,3,3,3,3,3,3,0,0,0]","2019-01-17 18:09:47","[3,2,2,1,2,2]","2019-01-17 18:10:24","[2,3,1,3,2,2]","2019-01-17 18:11:02","[3,1,0,3,3,3]","2019-01-17 18:11:30"
"45",245,"2019-01-17 18:33:21","[13,12,14]","2019-01-17 18:33:21","[0,""25"",2]","2019-01-17 18:34:04","[1,0,4,2,0,2,6,1,5,2,5,2,1,5,4,0,0,0]","2019-01-17 18:35:45","[3,1,3,3,3,1]","2019-01-17 18:38:41","[3,2,3,2,1,1]","2019-01-17 18:41:32","[1,3,1,3,3,1]","2019-01-17 18:44:32"
"46",246,"2019-01-17 18:52:50","[14,12,13]","2019-01-17 18:52:50","[1,""23"",5]","2019-01-17 18:53:17","[3,2,3,4,4,4,2,3,2,4,2,5,4,2,4,0,4,2]","2019-01-17 18:54:55","[3,2,2,1,1,3]","2019-01-17 18:58:40","[3,1,4,2,3,2]","2019-01-17 19:01:05","[2,2,2,2,2,2]","2019-01-17 19:02:40"
"47",248,"2019-01-17 19:09:48","[14,13,12]","2019-01-17 19:09:47","[0,""28"",6]","2019-01-17 19:09:59","[4,1,3,5,3,4,5,3,0,3,4,6,4,4,4,1,3,1]","2019-01-17 19:11:32","[0,3,0,3,3,1]","2019-01-17 19:18:00","[4,1,3,2,2,1]","2019-01-17 19:20:41","[3,1,3,3,2,2]","2019-01-17 19:22:56"
"48",249,"2019-01-17 19:41:05","[13,12,14]","2019-01-17 19:41:05","[0,""28"",0]","2019-01-17 19:41:29","[4,0,3,4,4,3,0,3,2,3,3,3,4,6,3,0,0,0]","2019-01-17 19:48:32","[3,2,1,3,3,0]","2019-01-17 20:03:01","[2,2,2,2,2,2]","2019-01-17 20:05:40","[2,2,2,2,2,2]","2019-01-17 20:06:38"
"49",250,"2019-01-17 20:00:50","[14,13,12]","2019-01-17 20:00:50","[0,""64"",1]","2019-01-17 20:01:14","[3,2,3,3,4,5,4,4,4,4,3,5,3,4,2,6,1,1]","2019-01-17 20:05:10","[3,1,2,4,3,0]","2019-01-17 20:11:44","[3,2,2,3,3,1]","2019-01-17 20:15:16","[3,2,2,3,3,1]","2019-01-17 20:17:40"
"50",251,"2019-01-17 20:06:49","[13,12,14]","2019-01-17 20:06:49","[1,""21"",4]","2019-01-17 20:07:11","[3,2,4,3,3,5,2,2,3,3,3,4,5,4,3,0,0,0]","2019-01-17 20:08:28","[3,2,2,4,2,2]","2019-01-17 20:19:59","[3,1,3,3,2,2]","2019-01-17 20:22:35","[2,2,2,4,3,0]","2019-01-17 20:25:32"
"51",252,"2019-01-17 20:28:42","[12,13,14]","2019-01-17 20:28:42","[1,""23"",5]","2019-01-17 20:29:37","[4,2,3,5,4,5,5,2,4,4,2,5,5,6,2,1,1,0]","2019-01-17 20:32:05","[1,3,1,3,3,0]","2019-01-17 20:38:04","[2,3,2,2,1,2]","2019-01-17 20:43:30","[1,3,1,3,3,1]","2019-01-17 20:53:11"
