,Unnamed: 0,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,speechiness,valence,tempo,liveness,genre
14,14,Nights In White Satin,Moody Blues,6L5BZEcZmD6RBJnimzlyKr,1968,15,25,29,23,28,33,35,23,50,31,42,41,45,65,68,76,102,122,124,111,0.465,0.195,269107,0.483,0.49700000000000005,-4.9910000000000005,0.03,0.17300000000000001,84.71,0.0686,"['album rock', 'art rock', 'british invasion', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'hard rock', 'mellow gold', 'progressive rock', 'psychedelic rock', 'rock', 'soft rock', 'symphonic rock']"
15,15,Dancing Queen,ABBA,0GjEhVFGZW8afUYGChu3Rr,1976,16,30,28,41,46,42,36,49,29,37,70,68,88,111,160,127,155,131,92,67,0.358,0.5429999999999999,230400,0.87,0.0009390000000000001,-6.513999999999999,0.0428,0.754,100.804,0.792,"['europop', 'swedish pop']"
16,16,Another Brick In The Wall,Pink Floyd,7rPzEczIS574IgPaiPieS3,1979,17,20,20,26,39,32,52,46,86,45,56,47,53,39,48,56,72,66,90,54,0.0781,0.6940000000000001,238747,0.39399999999999996,0.000677,-15.880999999999998,0.0428,0.7190000000000001,104.126,0.247,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
17,17,Sunday Bloody Sunday,U2,3qOJF8ha5YcGlcPJm25WG3,1985,18,13,31,24,37,29,39,41,65,41,57,55,66,55,62,62,57,49,47,69,0.00145,0.508,443896,0.9840000000000001,0.00404,-2.9339999999999997,0.0761,0.456,100.443,0.982,"['irish rock', 'permanent wave', 'rock']"
18,18,Music,John Miles,5Q2VbOrB93TGahnjBQGoOR,1976,19,39,32,37,36,67,75,65,76,56,111,122,123,113,129,116,135,170,187,209,0.231,0.251,353733,0.467,0.0358,-7.112,0.0305,0.15,83.34700000000001,0.35200000000000004,['classic uk pop']
19,19,Sultans Of Swing,Dire Straits,37Tmv4NnfQeb0ZgUC4fOJj,1978,20,16,10,16,15,27,28,27,28,23,32,25,30,28,21,27,25,26,26,20,0.0614,0.733,348624,0.794,0.0367,-10.023,0.0307,0.9309999999999999,148.174,0.33,"['album rock', 'blues rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']"
20,20,Tears In Heaven,Eric Clapton,612VcBshQcy4mpB2utGc3H,1992,21,31,35,34,43,40,41,44,46,36,60,50,44,77,65,73,83,83,75,78,0.8,0.695,280000,0.336,0.00264,-12.999,0.0313,0.42200000000000004,79.109,0.701,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']"
21,21,(I Can't Get No) Satisfaction,Rolling Stones,2PzU4IB8Dr6mxV3lHuaG34,1965,22,46,102,75,81,82,123,122,164,116,157,181,216,93,225,238,236,294,305,304,0.0383,0.723,222813,0.863,0.0317,-7.89,0.0338,0.9309999999999999,136.30200000000002,0.128,"['album rock', 'british invasion', 'classic rock', 'rock']"
22,22,Radar Love,Golden Earring,5tU9JM1v72X7oM808Am6Fq,1973,23,21,21,27,27,12,13,16,23,17,24,16,18,18,24,26,31,22,21,27,0.00878,0.504,386707,0.7190000000000001,0.00149,-9.155,0.0431,0.177,102.14399999999999,0.075,"['album rock', 'classic rock', 'dutch pop', 'dutch prog', 'dutch rock', 'hard rock', 'nederpop', 'rock']"
23,23,Old And Wise,Alan Parsons Project,5Jt2AQv1c3RUF5ENtAYF1i,1982,24,28,13,8,9,11,9,11,9,8,18,10,20,21,31,28,37,37,35,65,0.727,0.375,295253,0.317,2.9199999999999998e-05,-11.741,0.0315,0.12,112.00299999999999,0.12300000000000001,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'soft rock', 'symphonic rock']"
24,24,Losing My Religion,R.E.M.,31AOj9sFz2gM0O3hMARRBx,1991,25,15,37,42,33,46,76,79,132,60,67,83,68,118,111,126,112,80,73,84,0.179,0.6659999999999999,268427,0.855,1.2e-06,-5.051,0.0295,0.8029999999999999,125.639,0.0987,"['alternative rock', 'classic rock', 'permanent wave', 'pop rock', 'rock']"
25,25,School,Supertramp,6fnachl7fIn5dqIjakfJ57,1974,26,17,16,14,21,34,37,36,52,33,46,44,37,35,37,41,52,48,44,44,0.537,0.366,335286,0.46799999999999997,0.0283,-14.514000000000001,0.0826,0.0506,90.281,0.0664,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock']"
26,26,Let It Be,Beatles,7iN1s7xHE4ifF5povM6A48,1970,27,37,40,47,23,41,55,58,57,49,54,46,56,52,39,50,51,68,79,53,0.631,0.44299999999999995,243027,0.40299999999999997,0.0,-8.339,0.0322,0.41,143.46200000000002,0.111,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
27,27,Brothers In Arms,Dire Straits,0CzeAbfKFnxnWjwo5iYiCG,1985,28,22,7,9,11,15,19,20,19,13,21,19,15,11,11,14,15,19,17,15,0.531,0.413,424000,0.29600000000000004,0.8009999999999999,-13.904000000000002,0.0277,0.14400000000000002,79.273,0.183,"['album rock', 'blues rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']"
