,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018
992,We've Got To Get Out Of This Place,Animals,6b2zBVxUOOkg87OTfakXEH,1965,993,903,915,984,1049,725,958,1082,919,929,1622,1268,1552,1963,1533,1808,0,0,0,0
993,You Should Be Dancing,Bee Gees,2xiOdusRnZezQok1RgLNeS,1976,994,0,642,1187,1515,1647,1990,1848,1780,1676,0,1979,0,0,1866,0,0,0,0,0
994,Marian,Cats,7bzhrRyCmhRQDXsUjdre8t,1969,995,0,737,659,697,701,609,534,565,594,543,571,792,828,1002,905,1112,1116,1589,1325
995,Some Kind Of Wonderful,Grand Funk Railroad,1cU34sZG9kF4FYHCoAD0Ib,1975,996,864,1256,1088,1365,1131,1341,1414,1632,1361,1616,1626,1865,1941,1953,1994,0,0,0,0
996,The Old Fashioned Way,Charles Aznavour,6GeWZVrbNw4qOWZYY0VKdQ,1973,997,0,1515,1049,1268,1242,1000,1163,1204,1175,1584,1540,1791,0,1843,0,0,0,0,0
997,True,Spandau Ballet,0CsM8VGDi38kusMv3pxyj1,1983,998,805,896,1132,1434,1560,1796,1812,0,1835,1965,0,0,0,0,1961,0,0,1852,1974
998,Walk Like An Egyptian,Bangles,1Jwc3ODLQxtbnS8M9TflSP,1986,999,1197,611,1036,1153,1097,1287,1646,1668,1368,1600,1774,0,0,0,0,0,0,0,0
999,Zondagmiddag Buitenveldert,Frans Halsema,3OMb732EBHpvlBkIIh9u46,1969,1000,791,931,1164,917,1111,970,1403,1547,1209,1677,1675,1786,1886,1821,0,0,0,0,0
1000,Don't Be Cruel,Elvis Presley,4zzXm1QJQXWLyUfFhWZBRg,1956,1001,0,1675,1648,849,1398,1065,1315,1439,1272,1430,1676,1950,1745,0,0,0,0,0,0
1001,Good Year For The Roses,Elvis Costello,4RZCoFsZHw9XvDZdv2jtkK,1981,1002,750,776,791,739,827,878,821,1021,830,1235,964,1328,1570,1419,1538,1486,1729,1934,0
1002,I Don't Believe In If Anymore,Roger Whittaker,1fNEjmDv3eg5HSDzndJg8G,1970,1003,1325,1754,1438,1220,980,1624,1567,1606,1422,0,0,0,0,0,0,0,0,0,0
1003,I'm A Train,Albert Hammond,2ch9sJo62ctT2meP4xz6pd,1974,1004,0,632,703,900,860,947,1241,1411,1073,1709,1303,1402,0,0,0,0,0,0,0
1004,Let's Stick Together,Bryan Ferry,6y4FVJwf09ssxuRnlEgXkp,1976,1005,610,1181,923,859,714,963,1171,1155,974,1273,1217,1462,1742,1796,1638,0,1857,1739,0
1005,The Legend Of Xanadu,Dave Dee Dozy Beaky Mick & Tich,4DYp1pEg6ebDJkChzvxjOi,1968,1006,841,1070,1047,1742,1063,1261,1256,1544,1313,1333,1560,1596,0,0,0,0,0,0,0
1006,Tuesday Afternoon,Moody Blues,31pi9vJJWHZxygk8AoGd0d,1968,1007,0,821,404,598,554,616,553,870,621,630,661,777,933,713,842,1152,1569,1820,1363
1007,You Were My Friend,Chi Coltrane,02P4Ux9JNCYA8TwAm4AcRW,1973,1008,943,544,448,1021,948,957,1348,1006,999,1159,1148,1578,0,1711,1920,0,0,0,0
1008,All Or Nothing,Small Faces,7u8P7Z4FCF6oXs0aXA7K89,1966,1009,1243,1031,1212,1412,1177,1162,1157,1564,1266,1283,1526,1621,1756,1651,0,0,0,0,0
1009,Diana,Paul Anka,4chlGZQX5uPYpRLp3NezmX,1957,1010,1063,1708,1482,1299,1650,1602,1468,1803,1559,0,1930,0,0,0,0,0,0,0,0
1010,My Friend The Wind,Demis Roussos,3QPbpts7SUadpe02WjdLPH,1973,1011,1077,571,795,887,844,808,800,912,805,1210,1147,1308,1754,1713,1823,1739,0,0,0
1011,If I Had A Hammer,Trini Lopez,44Btht5msS0IQ7o2DZuFdu,1963,1012,0,1795,1861,1341,1614,1721,1816,1815,1696,0,0,0,0,0,0,0,0,0,0
1012,That'll Be The Day,Buddy Holly,50RwvvEKX5Q7AZt8FTAwIF,1957,1013,971,952,1075,580,1147,1113,1146,1483,1095,1678,1593,1781,1900,1901,0,0,0,0,0
1013,I Hope I Never,Split Enz,6AQvyR2ASOXyJdjzUfxNc2,1981,1014,0,894,1106,1345,1347,1503,1503,1742,1490,1812,1789,1979,0,0,0,0,0,0,0
1014,Willempie,André van Duin,0ThM4uOMV4nBf3q2DnElwy,1976,1015,0,0,1776,0,1579,0,0,1833,0,0,0,0,0,0,0,0,0,0,0
1015,All Night Long (All Night),Lionel Richie,4czNORk5MjW5WOn98bki32,1983,1016,1129,1104,1363,1701,1464,1688,1451,0,1780,1864,1849,0,1505,0,0,0,0,0,1677
1016,Happy Together,The Turtles,1JO1xLtVc8mWhIoE3YaCL0,1967,1017,1376,1507,1566,1192,1289,1387,1416,1619,1405,1685,1808,0,0,1891,0,0,0,0,0
1017,A Good Heart,Feargal Sharkey,4umQbcdBF3YVsNBvvnFLiX,1985,1018,766,1059,943,1465,1406,1575,1522,1534,1437,1786,1722,1631,1188,1855,1926,0,0,0,0
1018,High,Lighthouse Family,0AQHfKjzky28rf5ytfBANJ,1998,1019,1101,0,1040,1076,1438,1646,1874,0,1825,0,1944,0,0,0,0,0,0,0,0
1019,Reach Out I'll Be There,Four Tops,6tYIQpc9rX2wTBtb9Rh37K,1966,1020,1351,1663,1557,1177,1451,1489,1596,1890,1556,1525,1573,1959,1967,1664,1898,0,0,0,0
1020,I Want You,Bob Dylan,7tJQ4Ekp2vN3NlI3vJJW3v,1966,1021,0,1167,985,741,387,514,609,476,546,527,592,751,555,671,963,867,1025,1290,1335
1021,Sympathy,Steve Rowland and the Family Dogg,3h6VcQufkz4E2ONyBNRL33,1970,1022,1473,1322,1208,1040,1412,1621,1639,1737,1520,0,0,0,0,0,0,0,0,0,0
1022,Into The Groove,Madonna,2m0M7YqCy4lXfedh18qd8N,1985,1023,1330,1691,1901,1693,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,This Town Ain't Big Enough For Both Of Us,Sparks,24Ja9b0r3vZDIYKfH8lTVv,1974,1024,683,1205,727,797,1029,1077,1014,1247,1024,1298,1430,1619,1621,1717,1764,0,0,0,0
1024,All My Loving,Beatles,4joiWvli4qJVEW6qZV2i2J,1964,1025,1362,1077,1689,1124,1098,1348,1208,1126,1184,1368,1490,1388,1043,1493,1792,0,0,0,0
1025,Cocaine,J.J. Cale,6G3NoUqDpqD3Rgfel2pD6s,1973,1026,0,818,920,810,1004,1007,673,865,811,735,682,729,875,585,766,1171,1161,1399,1567
1026,Endless Love,Diana Ross & Lionel Richie,41nfcJF2FqWvRgo8lEoNio,1981,1027,0,0,0,0,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,Everybody's Talking,Harry Nilsson,1jcPcDu2YawPfLhwjYnqK2,1969,1028,1489,1494,1295,1453,1569,1821,1775,1638,1632,0,0,0,0,0,0,0,0,0,0
1028,I Love You Because,Jim Reeves,771mxqxRBBAWTzBUcTJP3A,1964,1029,0,1632,0,1370,1582,1353,1289,548,1043,1573,1653,1947,1923,0,0,0,0,0,0
1029,Sunny Afternoon,Kinks,0DQqzCHlPyKQXfF8uL01SI,1966,1030,600,826,884,990,909,1079,877,1239,970,825,1030,1080,1205,1106,1191,1567,1677,1685,1779
1030,As Tears Go By,Marianne Faithfull,5zyYjd6yeJsO37EHGDhv5M,1964,1031,0,1251,1287,978,1060,1248,914,1096,1049,1105,1194,1237,1271,1487,1698,0,0,0,0
1031,Gute Nacht Freunde,Reinhard Mey,3GDLtXFmD1He894ANKjHi9,1974,1032,1494,1634,1398,1384,1329,1402,1293,1618,1402,1243,1388,1416,1604,1341,1560,1628,1441,1619,1601
1032,How Am I Supposed To Live Without You,Michael Bolton,3RMeOetCdXttthQK0clPuz,1990,1033,0,0,0,1813,1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,Just The Way You Are,Billy Joel,49MHCPzvMLXhRjDantBMVH,1978,1034,1444,769,1207,1176,1140,954,1161,921,1034,1446,1055,1431,1672,1530,1505,1836,1964,1868,1848
1034,Kiss You All Over,Exile,3FGcQkWQlkeB82RdZwlw8V,1978,1035,925,1130,1125,1258,1377,1508,1684,0,1775,1639,1691,0,0,0,0,0,0,0,0
1035,No Regrets,The Walker Brothers,6hzqAmGSQv3Sb5tY0WB8RA,1976,1036,706,639,851,1083,1031,1067,1248,1292,1136,989,1050,1075,1627,1648,1329,1614,1837,1948,0
1036,Ritme Van De Regen,Rob de Nijs,2cFbNx5telDan1xACG9Ts8,1963,1037,1287,1074,1608,1166,1612,1481,1429,1798,1505,0,0,0,0,0,0,0,0,0,0
1037,Poppa Joe,Sweet,1GyQrKyK660LcFW1iPnneq,1972,1038,491,113,1260,915,978,1019,1255,1962,1122,1890,1926,0,0,0,0,0,0,0,0
1038,Wild Places,Duncan Browne,0,1979,1039,646,809,720,773,726,595,998,905,787,1340,1224,1369,1201,1100,1179,1256,1560,1694,0
1039,Maybe Tomorrow Maybe Tonight,Earth & Fire,4QGkmpL7J862ZYwCusgxie,1973,1040,0,772,863,881,1156,1271,1286,1521,1223,1300,1187,1531,1866,1957,1923,0,0,0,0
1040,All By Myself,Eric Carmen,0AQqrtK1pULuwZUXhwaaDz,1976,1041,1156,1374,1251,1448,0,1712,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,Do You Really Want To Hurt Me,Culture Club,1I6q6nwNjNgik1Qe8Oi0Y7,1982,1042,1315,1462,1667,1659,1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,Waiting For A Girl Like You,Foreigner,2OgVsp77En2nju8pnCieVU,1982,1043,1015,886,1145,1000,1356,1498,1703,1945,1519,0,1727,0,1586,1912,1826,1884,0,0,0
1043,Blue Bayou,Linda Ronstadt,3zxklD2EGecZre9MjEEvIU,1977,1044,0,987,1430,1183,901,1117,1010,1177,1089,1478,1459,1701,1661,1761,1932,0,0,0,0
1044,Come Back And Stay,Paul Young,1r3YUTAwY0Y7tyV9Xcgps8,1983,1045,1090,1554,1956,1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,I've Got You Under My Skin,Frank Sinatra,3aEJMh1cXKEjgh52claxQp,1956,1046,1174,1409,1180,1170,911,1152,1288,1200,1155,1248,1267,1272,1407,1244,1390,1149,1434,1726,1858
1046,One Night In Bangkok,Murray Head,1xgqGXZW1udHCjuwjeRDVO,1985,1047,1347,1872,1190,1521,1625,1968,1591,0,1847,1839,0,0,0,0,0,0,0,0,0
1047,Sag Mir Wo Die Blumen Sind,Marlene Dietrich,79S2bCnwMRYA4twpRvmREG,1963,1048,0,0,1992,1223,1351,338,1116,1615,1031,1428,1761,1900,1902,0,0,0,0,0,0
1048,Marieke,Jacques Brel,5DWCNc2urdoun01KCOOpGQ,1961,1049,0,1180,1131,808,1073,858,913,1044,946,1188,1487,1524,1419,1376,1574,1899,0,0,0
1049,Suddenly,Billy Ocean,65h7Qhxl2WfW31Bl6sjWAI,1985,1050,0,1370,0,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,Right Next Door (Because Of Me),Robert Cray Band,7oN6nZ8m5HIMry6vUNZdEK,1987,1051,967,1485,1466,1443,1594,1362,1015,1081,1195,1671,1408,1320,1224,1228,1350,1410,1475,1693,1530
1051,Spanish Eyes,Al Martino,55Z0KHofKqhOMIOygAVXxm,1966,1052,0,1030,820,1105,889,881,1088,601,825,0,1648,0,0,0,0,0,0,0,0
1052,Hello Josephine,The Scorpions,711ttRxGbulAXf1jugf8Zc,1965,1053,1030,956,1194,1045,1228,1105,1022,1220,1118,1426,1571,1862,0,0,0,0,0,0,0
1053,Release Me,Engelbert Humperdinck,51sOMAqntkvxYpPlgpIIxg,1967,1054,0,1212,1988,1653,1424,1475,1316,1298,1398,0,1891,0,0,0,0,0,0,0,0
1054,When I Fall In Love,Nat 'King' Cole,0JlHhicC1HetuYgujLD9hO,1957,1055,1534,1308,0,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,Dancing With Tears In My Eyes,Ultravox,6o6ZPVUPJ0GTs2gQIt2jWc,1984,1056,1094,1071,900,1053,1193,1336,1617,1698,1392,1365,1410,1637,1833,1529,1581,1718,1634,1539,1772
1056,Alane,Wes,2wkoeulxiywQoKtniBbTHJ,1997,1057,0,1065,1882,0,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,Follow Me,Amanda Lear,6FhvgUO8AdS7LbP7Lbf8FN,1978,1058,821,972,1107,1230,998,1178,1340,992,1133,0,1762,0,0,0,0,0,0,0,0
1058,La Bamba,Ritchie Valens,2aEeghgUcnu75tzcolFMfs,1958,1059,0,1881,0,1763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,Why,Cats,2hgpFF3ljXqh0hrQhiAVSN,1969,1060,0,1108,1252,1133,1103,1211,842,1065,1020,957,977,1247,1554,1369,1295,1507,1792,0,0
1060,I'd Rather Go Blind,Chicken Shack,5K4C4We3nhtTYCyPEUae1I,1969,1061,630,833,828,1036,914,1249,1441,1330,1177,1586,1718,1884,1615,1726,1853,1915,0,0,0
1061,Karma Chameleon,Culture Club,2wSAWEYUHkt92X4SBAPqZE,1983,1062,1141,1252,1461,0,1779,0,0,0,0,0,0,0,1985,0,0,0,0,0,1938
1062,A View To A Kill,Duran Duran,6I4snLrVOrJsLdd43isc27,1985,1063,1232,1593,1230,1753,1795,0,0,0,0,0,0,0,2000,1735,0,1867,0,0,0
1063,Zeven Dagen Lang,Bots,6KsMemC3jDajWF4JNJLTzn,1976,1064,0,750,589,683,719,597,883,581,669,1626,1404,1427,1366,1499,1863,0,0,0,0
1064,All Around My Hat,Steeleye Span,5pNVGmFkq4bT98sRxdA7Xv,1976,1065,1242,751,1134,1403,1324,1441,1589,1650,1453,0,0,0,0,0,0,0,0,0,0
1065,Forever Man,Eric Clapton,349PT8jfi7RxXB7DZM0NMX,1985,1066,1209,939,1281,1292,1371,1566,1665,1602,1503,1453,1373,1486,1313,1170,1494,1408,1629,1638,1557
1066,Op Een Mooie Pinksterdag,Leen Jongewaard,7JQszt5pkJe43vlr0MUtLJ,1967,1067,0,1324,0,1888,0,0,1918,0,0,0,0,0,0,0,0,0,0,0,0
1067,Popmuzik,M,32cWAiKytoCrTPEks49hFK,1979,1068,1285,1332,1846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,She Goes Nana,Radios,73ckFKYD8ydiDRnazoGGDE,1993,1069,1290,1329,1435,1452,1850,1916,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,Spiegelbeeld,Willeke Alberti,0pHF9oQ3SYh57v8YZiXyyo,1963,1070,0,1364,1693,1459,999,1731,1673,1725,1550,1981,1939,0,0,0,0,0,0,0,0
1070,Bright Side Of The Road,Van Morrison,4w4Shi3xjbZBDGuhLw5LsQ,1979,1071,2000,727,616,744,795,910,711,773,739,802,791,937,1062,1120,1228,1452,1856,1883,0
1071,Conquistador,Procol Harum,2Wr1PqAw6bzMYhngpb3f96,1972,1072,1132,986,1147,972,1328,1220,1421,1821,1366,1499,1587,1707,1994,0,0,0,0,0,0
1072,I Lie And I Cheat,Won Ton Ton,05pj1BjPZ6uPtVqr5wSPYc,1988,1073,1068,1083,1293,1221,1757,1528,1891,1754,1624,1564,1795,0,0,0,0,0,0,0,0
1073,Lazy Sunday,Small Faces,11jw9nN4jdQEb82hKJCgKG,1968,1074,1110,1201,1543,1227,1366,1361,1757,0,1782,1611,1679,1716,0,1968,0,0,0,0,0
1074,One Day In Your Life,Michael Jackson,77fMGCDb1e3KEd060YEpyS,1981,1075,0,770,0,1830,1665,1910,1962,0,1969,1090,1414,1775,1916,1920,0,0,0,0,0
1075,Quiereme Mucho,Julio Iglesias,1oBYY1qxWRkeYr94yl5rMS,1979,1076,1396,0,0,0,0,0,1968,0,0,0,0,0,0,0,0,0,0,0,0
1076,Skandal Im Sperrbezirk,Spider Murphy Gang,26kXONuhWX8sutaxnmcpPg,1982,1077,1291,1097,1192,1326,1319,1544,1781,1976,1602,1846,1834,1954,1494,1667,1686,1532,1706,1714,1687
1077,Evergreen,Barbra Streisand,2IcqY68BxP1ONPi3ME6aje,1977,1078,0,1536,1853,1752,1349,1386,1235,963,1242,1185,1116,1806,1733,1751,1795,0,0,0,0
1078,Can't Take My Eyes Off Of You,Boys Town Gang,38f6pFU4HRtrT198ZnyrK5,1982,1079,1056,1002,1405,1889,1993,1880,1989,0,1944,0,0,0,0,0,0,0,0,0,0
1079,Funkin' For Jamaica,Tom Browne,0xbkxTqSaW5blsYgRXpB5I,1981,1080,1495,1641,1807,1694,1536,0,1991,1225,1726,0,0,0,1948,1710,1835,1969,0,0,0
1080,Lily Was Here,Candy Dulfer & Dave Stewart,0cpCVY9Yien3qmGfgE3zJF,1989,1081,1891,0,1711,0,1959,0,0,0,0,0,0,0,1523,1881,1411,0,0,0,0
1081,Midnight Train To Georgia,Gladys Knight & The Pips,6UaocmOO1bO7YwfHv9Kqcy,1973,1082,1724,1407,1644,1635,1299,1414,1374,1539,1435,1509,1183,1185,1516,1343,1377,1340,1406,1270,1055
1082,Don't Know Much,Linda Ronstadt,5z3ZDMP02xF33yCvPFnct3,1989,1083,0,1797,0,1931,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,Casser La Voix (Live),Patrick Bruel,1rxtY5YguwETxBmFt7EPht,1992,1084,0,1482,916,919,1154,1127,645,1353,945,1077,1010,1009,1036,1026,1077,1041,1162,1305,1650
1084,Georgia On My Mind,Ray Charles,4DEAiNBvq5yBy7NzpVc02h,1960,1085,0,1718,1952,950,1102,677,723,990,870,949,927,716,810,840,979,1239,1440,1614,1591
1085,I Can Hear Music,Beach Boys,1hcMfYTsRTC4hIKbfosxjz,1969,1086,858,878,981,1022,1002,1100,1269,1226,1139,1161,1078,1338,0,1887,1887,0,0,0,0
1086,Live Is Life,Opus,7hkOgKKybgawYUcrkZD3wV,1985,1087,877,1444,1270,1456,1727,1858,0,0,0,1629,1770,0,0,0,0,0,0,0,0
1087,Fever,Peggy Lee,2CeqxyOZEyiL6pTDYZ9gPH,1959,1088,1710,1730,1383,1097,1848,1820,1932,0,1886,0,0,0,0,0,0,0,0,0,0
1088,Love Letters In The Sand,Pat Boone,1eqGYJJr2z2GXK1i0hD3BC,1957,1089,1218,1488,1710,1190,1762,1703,1553,1689,1576,0,0,0,0,0,0,0,0,0,0
1089,Yesterday When I Was Young,Charles Aznavour,5YLYgvlpbz64nmqF5E0kXo,1970,1090,0,1338,940,778,961,704,721,545,697,812,844,1027,1021,629,872,799,833,995,621
1090,Arms Of Mary,Sutherland Brothers And Quiver,2MPy6hWob0XHHOiKF4cOfK,1976,1091,1244,1087,1499,1516,1910,1543,1867,1876,1697,0,0,0,0,0,0,0,0,0,0
1091,Cosi Celeste,Zucchero,0X9OBzlOy2r20zP7sQMNpb,1997,1092,0,0,1690,1667,1483,1293,1281,932,1253,1913,1496,1443,1541,1592,1709,1658,0,0,0
1092,Nah Neh Nah,Vaya con Dios,1fX0h6SaZBXwmr4haRvirQ,1990,1093,997,1504,1344,1149,1301,1110,1257,1436,1267,1310,1498,1475,1347,1943,1844,0,0,0,0
1093,'t Is Weer Voorbij Die Mooie Zomer,Gerard Cox,1OkDLYSHraLYrClG4Q0AQX,1973,1094,1148,0,1610,1283,1479,1425,1263,1570,1418,1642,1734,0,813,0,0,0,0,0,0
1094,(Walk Me Out) In The Morning Dew,Long John Baldry,4NU497WgI8zlUG2l48KSID,1981,1095,871,1132,1114,1005,1042,1273,982,846,977,1162,1274,1291,843,1262,1385,1695,0,0,0
1095,Sacramento (A Wonderful Town),Middle Of The Road,6hAUzkpIfh81JFJFq72iVN,1972,1096,732,1090,1053,1010,1278,1280,1564,1484,1338,1597,1697,1826,1630,0,0,0,0,0,0
1096,La Danse De Zorba,Trio Hellenique,6AB8NL6WPXdCQYZmFxdYe0,1965,1097,1371,1835,1944,0,0,1923,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,Don't Wanna Lose You,Gloria Estefan,5NFbzd8K2VHwrydjKVetIv,1989,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,Hit Me With Your Rhythm Stick,Ian Dury & Blockheads,2ee9kqcX5qVkZwQmeJZVVC,1978,1099,1105,1131,1314,1549,1454,1746,0,0,0,1906,1805,1735,0,0,0,0,0,0,0
1099,I Scare Myself,Thomas Dolby,6XhpH1fs9BLFk0IxEGyecw,1984,1100,987,1649,1244,1578,1521,1759,1976,1963,1717,0,0,0,0,0,0,0,0,0,0
1100,24 Hours From Tulsa,Gene Pitney,5daJNHhXBesrifRSNrHb7k,1964,1101,1359,0,1533,1529,1986,1849,1598,0,1900,0,0,0,0,0,0,0,0,0,0
1101,Darling Be Home Soon,Lovin' Spoonful,4JodKyl2EbwUCLxDWrvAw5,1967,1102,1095,1069,987,1387,1081,1656,1442,0,1716,0,0,0,0,0,0,0,0,0,0
1102,Dream A Little Dream Of Me,Mama Cass,3GLJpG5m5adV11eNPgjrdW,1968,1103,1597,1476,1647,1756,1455,1626,1570,1528,1558,1758,1738,1742,1914,1769,1868,0,0,0,0
1103,For What It's Worth,Buffalo Springfield,1qRA5BS78u3gME0loMl9AA,1967,1104,0,981,716,989,869,1094,1408,1401,1170,1565,1536,1341,1461,1115,1701,1460,1780,1695,1990
1104,I Am A Rock,Simon & Garfunkel,0byOqNZN9ailhoORv5Ps0Z,1966,1105,1175,761,1373,1300,1432,1187,1259,1490,1310,1576,1530,1622,1465,1723,0,0,0,0,0
1105,Because I Love You,Buddy Holly,1ekx6EzRw7oqjHn90b5WGK,1956,1106,0,0,0,0,1257,983,1000,864,1189,1602,1614,1832,1856,0,0,0,0,0,0
1106,All Day And All Of The Night,Kinks,78JmElAFmrPNhLjovDR9Jm,1964,1107,1361,1493,1983,1832,1624,0,1796,1904,1829,1635,1791,1738,1518,1489,0,0,0,0,0
1107,If I Said You Had A Beautiful Body,Bellamy Brothers,3EO5DSiJSASa69I7Vv00gN,1979,1108,0,773,1309,1486,1153,1174,1437,994,1204,1859,0,0,0,0,0,0,0,0,0
1108,Se Bastasse Una Canzone,Eros Ramazzotti,7dp45uA0Ws4TadWaMwdIRw,1990,1109,1191,1255,1433,867,1369,1036,1291,1352,1210,1688,1594,1695,1781,1820,1987,1887,0,0,0
1109,Spirit In The Sky,Norman Greenbaum,0jvN7eQJJt4nxQzgQfZ1SP,1970,1110,1146,1481,1739,959,1576,1786,1899,0,1834,0,0,0,0,0,0,0,0,0,0
1110,Window Of Hope,Oleta Adams,7IyXO4OsPqqmB0v1ebT9Ok,1993,1111,0,1811,1390,1213,1489,1432,1579,1380,1445,0,1777,1715,0,1999,1980,0,0,0,0
1111,La Mamma,Charles Aznavour,7xIXHiCgvuaVXWXUIHMlFq,1964,1112,0,1467,1298,1297,1175,1044,831,763,923,1018,1108,1176,1393,1294,1499,1374,0,0,0
1112,Sealed With A Kiss,Bobby Vinton,2W5UG7uGle3SlZiyzEGxls,1972,1113,1075,971,1378,1340,1145,1277,1303,1393,1288,0,1886,0,0,0,0,0,0,0,0
1113,Ticket To Ride,Beatles,7CZiDzGVjUssMSOXrDNYHL,1965,1114,1011,1534,1576,1746,1621,1795,1719,1579,1640,1773,0,0,0,1853,0,0,0,0,0
1114,Touch,Outsiders,25mSTEYCfE8kCXCeVyl7oF,1966,1115,974,1354,1358,1074,1323,1006,1329,1810,1345,1566,1492,0,0,0,0,0,0,0,0
1115,Starlight Dancer,Kayak,6xVvj9IJov0amZmYKe6Xaz,1977,1116,720,691,646,696,1074,1034,1170,1629,1093,698,1093,938,1055,1163,1302,1608,0,1786,0
1116,The Last Seven Days,Unit Gloria,5UDbH6e4kfAkKIfaNojXGS,1969,1117,1580,1122,1234,977,1110,948,1057,1049,1044,1131,1084,1549,1921,0,0,0,0,0,0
1117,You Are,Dolly Parton,6okcxWVQetuXyRKMcVqJXZ,1983,1118,866,240,1540,1612,1353,1443,1549,1319,1343,1955,1847,1971,1716,0,0,0,0,0,0
1118,The Eyes Of Jenny,Sandy Coast,6w8T2AwZ4k47OF1w2Jj2e1,1981,1119,1149,1208,1254,1621,1491,1422,1762,1894,1621,0,1401,1226,1172,1219,1063,1337,1678,768,1628
1119,Then I Kissed Her,Beach Boys,3Ez3Pk5Xe6GmocOVZ6dEks,1967,1120,1228,1186,1352,1775,1344,1427,1638,1270,1429,1632,1515,1965,0,0,0,0,0,0,0
1120,Ik Ben Blij Dat Ik Je Niet Vergeten Ben,Joost Nuissl,0,1975,1121,609,1000,1157,1100,1090,1164,1090,1123,1100,1656,1397,1464,1730,0,0,0,0,0,0
1121,Mr. Bojangles,The Nitty Gritty Dirt Band,7uEqHdKCQDqoXWplqrKkjL,1971,1122,1514,0,0,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,What's Another Year,Johnny Logan,51hipIpHYmj2Qh2tyQ32h6,1980,1123,1233,0,1924,1844,0,1649,928,0,1813,0,0,0,0,0,0,0,0,0,0
1123,Ain't No Mountain High Enough,Diana Ross,1KbuhBnzMHp4eq1q6flhWd,1970,1124,0,1808,1403,1265,1502,1635,1515,1512,1509,1462,1375,1658,1515,1812,0,0,0,0,0
1124,Ferry 'Cross The Mersey,Gerry & The Pacemakers,3NFScsiDPfCzKgQQUL0674,1964,1125,983,852,1392,1168,1607,1574,1858,0,1810,1922,1913,1991,0,0,0,0,0,0,0
1125,How Long,Ace,4AjKVyNUMdUveKK5OH1OJD,1974,1126,0,1041,1119,1439,1759,0,0,1673,1968,0,0,0,0,0,0,0,0,0,0
1126,La Ballade Des Gens Heureux,Gerard Lenorman,2F93sahNTCWDPYmWbMvtVH,1976,1127,1502,1209,1720,1689,1519,1354,1282,1764,1489,1945,1700,1780,1329,1935,1717,0,0,0,0
1127,Crazy,Patsy Cline,3zpj9dvJABiyMrmLCPw6i8,1961,1128,1822,1499,0,1528,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,Distant Drums,Jim Reeves,0upIi14O5diqnGx9kDoXJL,1966,1129,0,0,1305,1449,1504,1456,1335,1158,1363,1670,1506,1763,1829,0,0,0,0,0,0
1129,I Won't Stand Between Them,Bonnie St. Claire,7mCbcJeWuxxSFTL9csNRTv,1970,1130,1103,953,956,1099,1361,1267,1620,1587,1386,0,1763,0,0,0,0,0,0,0,0
1130,How 'Bout Us,Champaign,03spDZnDL4B8IkjLXZ48NB,1981,1131,1212,1594,1563,1450,1565,1610,1360,1658,1511,0,1929,0,0,0,0,0,0,0,0
1131,It's Over,Roy Orbison,3HZMEIZY9Z6GdhPaG5bAK2,1964,1132,1271,1230,1389,921,1189,1380,1219,1430,1238,1718,1661,1899,0,0,0,0,0,0,0
1132,Are You Ready,Pacific Gas & Electric,1qosKhs9gLXr0SUjPwBslU,1970,1133,1652,1707,1672,1344,1300,1958,0,0,1998,1775,1962,0,0,0,0,0,0,0,0
1133,Reflections,Diana Ross & The Supremes,4yChgYDVcQrAgIEIErW27b,1967,1134,0,1656,1590,1896,1944,1998,1988,0,1976,0,0,0,0,0,0,0,0,0,1760
1134,You Don't Have To Say You Love Me,Dusty Springfield,1uLwVWTOpMqNkBsjpR1WB8,1966,1135,980,1017,1460,1674,1291,1401,1135,1014,1192,1475,1221,1337,0,1829,0,0,0,0,0
1135,Ring Of Fire,Johnny Cash,6YffUZJ2R06kyxyK6onezL,1963,1136,0,1058,1103,682,555,658,325,386,451,269,228,199,195,199,258,246,293,319,251
1136,The Things We Do For Love,10CC,6KEWtSOGKpIXGw6l1uJgsR,1976,1137,0,914,1066,1267,852,1134,1262,953,1069,1262,0,1348,0,0,0,0,0,0,0
