"","pid","gender","age","spotify_hours","msi","condition.x","attractiveness","diversity","gid","participant_id","phase_id","condition_id","algorithm","configuration","rating_id","pos","track_id","rating","score","danceability","energy","audio_key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","rank","rank_real","condition.y","condition","rating.jitter","attractiveness.jitter","gidp","duplicate.base","duplicate.genre","duplicate.gmm","duplicate","duplicate.n"
"11",46,"male","28","4-6",1.55555555555556,13,1,1.33333333333333,"46_13",46,4,13,"MAUT",8,0,9,"61mWefnWQOLf90gepjOCb3",1,0.73055402993272,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,1,1,"genre","genre",0.975321015436202,0.987000286218245,"46_13_9",1,1,1,"base-genre-gmm",2
"12",46,"male","28","4-6",1.55555555555556,13,1,1.33333333333333,"46_13",46,4,13,"MAUT",8,0,5,"2MvIMgtWyK88OiPi0J8Dg3",1,0.696704654675271,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093,2,2,"genre","genre",1.00226414548233,0.998854854563251,"46_13_5",1,1,0,"base-genre",1
"13",46,"male","28","4-6",1.55555555555556,13,1,1.33333333333333,"46_13",46,4,13,"MAUT",8,0,2,"4PwUQ0K5w7O3VGPYo9gbUq",1,0.542890978992174,0.519,0.939,6,-2.59,0,0.0734,7.4e-05,0,0.0993,0.381,130.019,3,3,"genre","genre",0.975115731265396,1.01944007111015,"46_13_2",0,1,0,"none",0
"14",46,"male","28","4-6",1.55555555555556,13,1,1.33333333333333,"46_13",46,4,13,"MAUT",8,0,4,"47VSmPTydr0saGjbQGwCeg",0.7,0.540920637100096,0.395,0.988,11,-4.063,0,0.246,0.000128,0.000244,0.134,0.189,107.684,4,20,"genre","genre",0.721207899635192,1.01936553107807,"46_13_4",0,1,0,"none",0
"15",46,"male","28","4-6",1.55555555555556,13,1,1.33333333333333,"46_13",46,4,13,"MAUT",8,0,6,"4vCG26vd7hzGdLq84pl1tf",0.8,0.508001510366607,0.357,0.986,7,-2.266,1,0.102,0.000553,0.0106,0.236,0.543,183.901,5,60,"genre","genre",0.79734424892813,0.98525958203245,"46_13_6",0,1,0,"none",0
"16",46,"male","28","4-6",1.55555555555556,13,1,1.33333333333333,"46_13",46,4,13,"MAUT",8,0,7,"0dxPHMZTI8TWMYRucsAFNd",0.6,0.402268982562131,0.349,0.97,6,-2.874,1,0.0892,0.00511,3.4e-06,0.0433,0.299,159.785,6,100,"genre","genre",0.608147458650637,1.0189122266951,"46_13_7",0,1,0,"none",0
"17",46,"male","28","4-6",1.55555555555556,13,1,1.33333333333333,"46_13",46,4,13,"MAUT",8,0,0,"2g3JAKjKruTL40VffoGLmg",0.3,0.353820540985858,0.447,0.319,5,-11.642,1,0.0283,0.592,0.0385,0.0945,0.133,73.868,7,150,"genre","genre",0.324736562254839,0.986590161803178,"46_13_0",0,1,0,"none",0
"18",46,"male","28","4-6",1.55555555555556,13,1,1.33333333333333,"46_13",46,4,13,"MAUT",8,0,1,"0FqMZmwe9qJ3nR5FuYpyoY",0.4,0.311414252368529,0.498,0.984,2,-3.295,1,0.127,0.0369,2.96e-05,0.11,0.257,139.712,8,200,"genre","genre",0.391957386676222,0.985795275331475,"46_13_1",0,1,0,"none",0
"19",46,"male","28","4-6",1.55555555555556,13,1,1.33333333333333,"46_13",46,4,13,"MAUT",8,0,3,"2s7BoYXz06CoxFyurVTALk",0.9,0.297221955238226,0.515,0.97,7,-2.417,0,0.0677,0.000937,7.84e-05,0.267,0.181,119.958,9,250,"genre","genre",0.924905272945762,0.994492400845047,"46_13_3",0,1,0,"none",0
"20",46,"male","28","4-6",1.55555555555556,13,1,1.33333333333333,"46_13",46,4,13,"MAUT",8,0,8,"3OuFeFXL7AqwbPhBI2RNrE",0.7,0.248314224907318,0.586,0.952,1,-2.857,1,0.0769,0.0013,0,0.292,0.347,130.106,10,300,"genre","genre",0.708472211705521,1.02378802563762,"46_13_8",0,1,0,"none",0
"21",46,"male","28","4-6",1.55555555555556,14,0.0833333333333333,3.66666666666667,"46_14",46,5,14,"MAUT",9,0,5,"0INUE1K7cEiE8VH63Rv5RJ",1,0.885802553892627,0.546,0.971,5,-2.661,0,0.0965,0.000823,2.11e-05,0.275,0.383,100.078,1,1,"gmm","gmm",0.976913633500226,0.0914108555608739,"46_14_5",0,0,1,"none",0
"22",46,"male","28","4-6",1.55555555555556,14,0.0833333333333333,3.66666666666667,"46_14",46,5,14,"MAUT",9,0,3,"61mWefnWQOLf90gepjOCb3",1,0.861897569682823,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,2,2,"gmm","gmm",0.992716448998544,0.0633386941238617,"46_14_3",1,1,1,"base-genre-gmm",2
"23",46,"male","28","4-6",1.55555555555556,14,0.0833333333333333,3.66666666666667,"46_14",46,5,14,"MAUT",9,0,8,"3a9urnht8HvfFzPwd0ipx6",1,0.835253329671839,0.369,0.995,0,-2.584,0,0.12,7.6e-05,0.00589,0.241,0.27,185.985,3,3,"gmm","gmm",0.991899578156881,0.105283265731608,"46_14_8",0,0,1,"none",0
"24",46,"male","28","4-6",1.55555555555556,14,0.0833333333333333,3.66666666666667,"46_14",46,5,14,"MAUT",9,0,0,"7zAt4tdL44D3VuzsvM0N8n",1,0.355608952354799,0.487,0.949,2,-4.217,0,0.0798,0.000429,2.91e-05,0.231,0.406,110.02,4,20,"gmm","gmm",1.02397146468284,0.0925940610545998,"46_14_0",0,0,1,"none",0
"25",46,"male","28","4-6",1.55555555555556,14,0.0833333333333333,3.66666666666667,"46_14",46,5,14,"MAUT",9,0,2,"7M8WeoB04edlpGg6fbT1Ex",0.1,0.0683736097761911,0.279,0.52,2,-5.391,1,0.0344,0.394,0,0.333,0.126,68.664,5,60,"gmm","gmm",0.0874962588772178,0.082029424534024,"46_14_2",0,0,1,"none",0
"26",46,"male","28","4-6",1.55555555555556,14,0.0833333333333333,3.66666666666667,"46_14",46,5,14,"MAUT",9,0,9,"6AhI4njnrPvD0aKAH1FsX6",0.3,0.0557805849237951,0.554,0.947,11,-3.009,0,0.0971,0.018,2.77e-06,0.147,0.692,163.206,6,100,"gmm","gmm",0.303116814303212,0.078120168876679,"46_14_9",0,0,1,"none",0
"27",46,"male","28","4-6",1.55555555555556,14,0.0833333333333333,3.66666666666667,"46_14",46,5,14,"MAUT",9,0,1,"3NKbpAGNNUVHGnlZxEo0O9",0.2,0.0214540711245366,0.595,0.346,0,-12.919,1,0.079,0.432,2.66e-05,0.0834,0.213,138.855,7,150,"gmm","gmm",0.219635504100006,0.092573947723334,"46_14_1",0,0,1,"none",0
"28",46,"male","28","4-6",1.55555555555556,14,0.0833333333333333,3.66666666666667,"46_14",46,5,14,"MAUT",9,0,4,"3MK9jSYbg92Fct9UPD8I1v",0.3,0.0214540711245366,0.566,0.605,0,-5.348,0,0.0459,0.534,0,0.0966,0.322,110.798,8,200,"gmm","gmm",0.28655806168681,0.0695313193796513,"46_14_4",0,0,1,"none",0
"29",46,"male","28","4-6",1.55555555555556,14,0.0833333333333333,3.66666666666667,"46_14",46,5,14,"MAUT",9,0,6,"4G0reXgEs8cCO1cSIrVpdD",0.1,0.0214540711245366,0.78,0.915,0,-3.282,1,0.0764,0.479,0,0.131,0.96,138.968,9,250,"gmm","gmm",0.116868314123712,0.0596995945282591,"46_14_6",0,0,1,"none",0
"30",46,"male","28","4-6",1.55555555555556,14,0.0833333333333333,3.66666666666667,"46_14",46,5,14,"MAUT",9,0,7,"6YPCAug3HHHSrK8COmRXez",0.1,0.0214540711245366,0.503,0.687,0,-6.168,1,0.0269,0.354,1.83e-05,0.066,0.345,144.969,10,300,"gmm","gmm",0.121057420503348,0.0855732927292896,"46_14_7",0,0,1,"none",0
"31",118,"female","52","1-3",2.11111111111111,12,0.75,2.33333333333333,"118_12",118,3,12,"MAUT",7,0,5,"31er9IGsfFbwqy1pH4aiTP",0.6,0.314537965124262,0.54,0.401,0,-10.499,1,0.0364,0.576,0,0.164,0.24,152.974,1,1,"base","base",0.576083978428505,0.757429407897871,"118_12_5",1,0,0,"none",0
"32",118,"female","52","1-3",2.11111111111111,12,0.75,2.33333333333333,"118_12",118,3,12,"MAUT",7,0,0,"7wZUrN8oemZfsEd1CGkbXE",1,0.249242070575312,0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036,2,2,"base","base",1.00015054206597,0.760608449229039,"118_12_0",1,0,0,"none",0
"33",118,"female","52","1-3",2.11111111111111,12,0.75,2.33333333333333,"118_12",118,3,12,"MAUT",7,0,9,"7FihoA0WgTT21DkWR7wbYR",0.1,0.24510606892764,0.342,0.425,0,-9.064,0,0.0425,0.459,0,0.122,0.115,110.62,3,3,"base","base",0.0898762667551637,0.753031982318498,"118_12_9",1,0,0,"none",0
"34",118,"female","52","1-3",2.11111111111111,12,0.75,2.33333333333333,"118_12",118,3,12,"MAUT",7,0,1,"4zqY8o0AYkl1HKvc56Gzhb",0.1,0.0425844432239462,0.445,0.515,0,-5.667,1,0.0273,0.235,0.0804,0.135,0.188,131.91,4,20,"base","base",0.107896814134438,0.770655929937493,"118_12_1",1,0,0,"none",0
"35",118,"female","52","1-3",2.11111111111111,12,0.75,2.33333333333333,"118_12",118,3,12,"MAUT",7,0,8,"4efQTJSX6Jca1hHZNi74Zd",0.1,NA,0.771,0.825,0,-4.009,1,0.0441,0.305,0,0.11,0.812,92.009,5,60,"base","base",0.0817034192732535,0.734306695673149,"118_12_8",1,0,0,"none",0
"36",118,"female","52","1-3",2.11111111111111,12,0.75,2.33333333333333,"118_12",118,3,12,"MAUT",7,0,7,"5kOegu9RsW6DJBxCMbuKzI",0.2,NA,0.643,0.856,0,-3.322,1,0.0382,0.0133,1.64e-06,0.0771,0.549,102.041,6,100,"base","base",0.195810005487874,0.763871974707581,"118_12_7",1,0,0,"none",0
"37",118,"female","52","1-3",2.11111111111111,12,0.75,2.33333333333333,"118_12",118,3,12,"MAUT",7,0,6,"2CNDUZJ2e5PMut5fVQx1vI",0.2,NA,0.669,0.743,0,-4.288,0,0.0385,0.335,0,0.0925,0.5,134.926,7,150,"base","base",0.191691762860864,0.767001393425744,"118_12_6",1,0,0,"none",0
"38",118,"female","52","1-3",2.11111111111111,12,0.75,2.33333333333333,"118_12",118,3,12,"MAUT",7,0,4,"0kwaKhIcaezQuShga1djFA",0.1,NA,0.783,0.824,0,-4.973,1,0.123,0.214,0,0.102,0.726,93.998,8,200,"base","base",0.124564736383036,0.771894063963555,"118_12_4",1,0,0,"none",0
"39",118,"female","52","1-3",2.11111111111111,12,0.75,2.33333333333333,"118_12",118,3,12,"MAUT",7,0,3,"6eiQIgwMcqVU7zraZGd7dJ",0.1,NA,0.585,0.249,0,-13.601,1,0.055,0.949,0.0157,0.0942,0.509,122.116,9,250,"base","base",0.0805240813991986,0.735030545818154,"118_12_3",1,0,0,"none",0
"40",118,"female","52","1-3",2.11111111111111,12,0.75,2.33333333333333,"118_12",118,3,12,"MAUT",7,0,2,"1182pxG4uNxr3QqIH8b8k0",0.1,NA,0.598,0.505,0,-6.935,1,0.0255,0.702,1.27e-05,0.25,0.421,89.95,10,300,"base","base",0.0868168248445727,0.740858751744963,"118_12_2",1,0,0,"none",0
"41",118,"female","52","1-3",2.11111111111111,13,0.75,3,"118_13",118,4,13,"MAUT",8,0,6,"0GfVC8k2NbZ51qAGhFri0z",0.2,0.667767403542496,0.745,0.559,0,-9.642,1,0.0234,0.0832,5.97e-06,0.044,0.712,97.996,1,1,"genre","genre",0.196034287428483,0.758270816004369,"118_13_6",0,1,1,"genre-gmm",1
"42",118,"female","52","1-3",2.11111111111111,13,0.75,3,"118_13",118,4,13,"MAUT",8,0,1,"0H80CvMDKLYxwSq5AwwJ9S",0.5,0.667571742413841,0.75,0.409,8,-15.248,1,0.0468,0.205,0.136,0.0816,0.458,98.075,2,2,"genre","genre",0.510223005444277,0.734592228953261,"118_13_1",0,1,0,"none",0
